[list d0] Lists of cemeteries: 367 entity links, 32 child lists
[list d1] List of necropolises: 86 entity links, 0 child lists
[list d1] List of mausolea: 567 entity links, 1 child lists
[list d1] List of cemeteries in Canada: 129 entity links, 6 child lists
[list d1] List of cemeteries in the United States: 588 entity links, 65 child lists
[list d1] List of cemeteries in Hungary: 6 entity links, 13 child lists
[list d1] List of cemeteries in Germany: 237 entity links, 14 child lists
[list d1] List of cemeteries in Russia: 89 entity links, 23 child lists
[list d1] List of cemeteries in England: 262 entity links, 2 child lists
[list d1] List of cemeteries in Australia: 194 entity links, 0 child lists
[list d1] List of cemeteries in China: 30 entity links, 12 child lists
[list d1] List of cemeteries in France: 130 entity links, 13 child lists
[list d1] List of cemeteries in Estonia: 17 entity links, 13 child lists
[list d1] List of cemeteries in Turkey: 38 entity links, 23 child lists
[list d1] List of cemeteries in the Philippines: 26 entity links, 13 child lists
[list d1] List of cemeteries in Ireland: 53 entity links, 0 child lists
[list d1] List of cemeteries in New Zealand: 32 entity links, 0 child lists
[list d1] List of cemeteries in Malaysia: 14 entity links, 12 child lists
[list d1] List of cemeteries in Lithuania: 11 entity links, 13 child lists
[list d1] List of cemeteries in Italy: 40 entity links, 13 child lists
[list d1] List of cemeteries in Iran: 35 entity links, 12 child lists
[list d1] List of cemeteries in Belgium: 72 entity links, 13 child lists
[list d1] List of cemeteries in Japan: 10 entity links, 12 child lists
[list d1] List of cemeteries in Slovenia: 22 entity links, 13 child lists
[list d1] List of cemeteries in Hong Kong: 45 entity links, 12 child lists
[list d1] List of cemeteries in Macau: 6 entity links, 12 child lists
[list d1] List of cemeteries in Pakistan: 62 entity links, 14 child lists
[list d1] List of cemeteries in South Africa: 36 entity links, 0 child lists
[list d1] List of cemeteries in Israel: 38 entity links, 12 child lists
[list d1] List of cemeteries in Uruguay: 34 entity links, 0 child lists
[list d1] List of cemeteries in Kenya: 10 entity links, 1 child lists
[list d1] List of cemeteries in Latvia: 8 entity links, 13 child lists
[list d1] List of cemeteries in Georgia (country): 11 entity links, 23 child lists
[list d2] List of tombs and mausoleums: 688 entity links, 5 child lists
[list d2] List of cemeteries in Toronto: 78 entity links, 5 child lists
[list d2] List of cemeteries in York Region: 60 entity links, 4 child lists
[list d2] List of Jewish cemeteries in the Greater Toronto Area: 58 entity links, 0 child lists
