qid,name,place_hint,wikipedia_url,sublists
Q630974,Kerameikos,,https://en.wikipedia.org/wiki/Kerameikos,List of necropolises
Q192134,Saqqara,,https://en.wikipedia.org/wiki/Saqqara,List of necropolises
Q41135,Ming tombs,,https://en.wikipedia.org/wiki/Ming_tombs,List of necropolises|List of mausolea|List of tombs and mausoleums
Q1909993,Wadi-us-Salaam,,https://en.wikipedia.org/wiki/Wadi-us-Salaam,List of necropolises
Q685414,Dahshur,,https://en.wikipedia.org/wiki/Dahshur,List of necropolises
Q1130019,Kremlin Wall Necropolis,Russia,https://en.wikipedia.org/wiki/Kremlin_Wall_Necropolis,List of necropolises|List of cemeteries in Russia|List of tombs and mausoleums|List of national cemeteries
Q648705,Naqsh-e Rostam,,https://en.wikipedia.org/wiki/Naqsh-e_Rostam,List of necropolises|List of mausolea|List of tombs and mausoleums
Q12508,Giza pyramid complex,,https://en.wikipedia.org/wiki/Giza_pyramid_complex,List of necropolises
Q336098,Abusir,,https://en.wikipedia.org/wiki/Abusir,List of necropolises
Q853955,Umm El Qa'ab,,https://en.wikipedia.org/wiki/Umm_El_Qa'ab,List of necropolises
Q1796353,Tombs of the Kings (Paphos),,https://en.wikipedia.org/wiki/Tombs_of_the_Kings_(Paphos),List of necropolises
Q2314811,Chellah,,https://en.wikipedia.org/wiki/Chellah,List of necropolises
Q29223,Theban Necropolis,Valley of the Queens,https://en.wikipedia.org/wiki/Theban_Necropolis,List of necropolises|List of burials in the Valley of the Queens
Q450348,Alyscamps,,https://en.wikipedia.org/wiki/Alyscamps,List of necropolises
Q155043,Makli Necropolis,Pakistan,https://en.wikipedia.org/wiki/Makli_Necropolis,List of necropolises|List of cemeteries in Pakistan|List of mausolea and shrines in Pakistan
Q931434,Necropolis of Pantalica,,https://en.wikipedia.org/wiki/Necropolis_of_Pantalica,List of necropolises
Q578506,Karacaahmet Cemetery,Turkey,https://en.wikipedia.org/wiki/Karacaahmet_Cemetery,List of necropolises|List of cemeteries in Turkey
Q7401208,St. Erasmus Cave Church,,https://en.wikipedia.org/wiki/St._Erasmus_Cave_Church,List of necropolises
Q1310277,Tumulus of Bougon,,https://en.wikipedia.org/wiki/Tumulus_of_Bougon,List of necropolises
Q1069411,Western Xia mausoleums,,https://en.wikipedia.org/wiki/Western_Xia_mausoleums,List of necropolises
Q43951677,Stećak necropolis Radimlja,,https://en.wikipedia.org/wiki/Ste%C4%87ak_necropolis_Radimlja,List of necropolises
Q2119637,Vatican Necropolis,,https://en.wikipedia.org/wiki/Vatican_Necropolis,List of necropolises
Q15060274,Tyre Necropolis,,https://en.wikipedia.org/wiki/Tyre_Necropolis,List of necropolises
Q311,Père Lachaise Cemetery,France,https://en.wikipedia.org/wiki/P%C3%A8re_Lachaise_Cemetery,List of necropolises|List of cemeteries in France|List of tombs and mausoleums
Q3339570,Caju Cemetery,,https://en.wikipedia.org/wiki/Caju_Cemetery,List of necropolises
Q3874156,Necropolis of Monte Luna,,https://en.wikipedia.org/wiki/Necropolis_of_Monte_Luna,List of necropolises
Q295408,Mramorje,,https://en.wikipedia.org/wiki/Mramorje,List of necropolises
Q2564175,Monterozzi necropolis,,https://en.wikipedia.org/wiki/Monterozzi_necropolis,List of necropolises
Q2782494,Necropolis of Soderstorf,,https://en.wikipedia.org/wiki/Necropolis_of_Soderstorf,List of necropolises
Q6002600,Eyüp Cemetery,Turkey,https://en.wikipedia.org/wiki/Ey%C3%BCp_Cemetery,List of necropolises|List of cemeteries in Turkey
Q2461943,Tuvixeddu necropolis,,https://en.wikipedia.org/wiki/Tuvixeddu_necropolis,List of necropolises
Q18010006,Kasta Tomb,,https://en.wikipedia.org/wiki/Kasta_Tomb,List of necropolises
Q48740746,Necropolis of Cyrene,,https://en.wikipedia.org/wiki/Necropolis_of_Cyrene,List of necropolises
Q17276497,Marathon tumuli,,https://en.wikipedia.org/wiki/Marathon_tumuli,List of necropolises
Q63456908,Necropolis of Emesa,,https://en.wikipedia.org/wiki/Necropolis_of_Emesa,List of necropolises
Q71990955,Valley of the Tombs,,https://en.wikipedia.org/wiki/Valley_of_the_Tombs,List of necropolises
Q6055664,Bin Tepe,,https://en.wikipedia.org/wiki/Bin_Tepe,List of necropolises
Q2904018,"Mount Pleasant Cemetery, Toronto",Toronto,https://en.wikipedia.org/wiki/Mount_Pleasant_Cemetery%2C_Toronto,List of mausolea|List of cemeteries in Toronto
Q831322,La Recoleta Cemetery,,https://en.wikipedia.org/wiki/La_Recoleta_Cemetery,List of mausolea|List of national cemeteries
Q782783,Australian War Memorial,,https://en.wikipedia.org/wiki/Australian_War_Memorial,List of mausolea
Q1457377,Mount Royal Cemetery,Canada,https://en.wikipedia.org/wiki/Mount_Royal_Cemetery,List of mausolea|List of cemeteries in Canada
Q1987325,Libingan ng mga Bayani,Metro Manila,https://en.wikipedia.org/wiki/Libingan_ng_mga_Bayani,List of mausolea|List of cemeteries in Metro Manila|List of national cemeteries
Q671935,Shah-i-Zinda,,https://en.wikipedia.org/wiki/Shah-i-Zinda,List of mausolea
Q288130,Fiume Road Graveyard,Hungary,https://en.wikipedia.org/wiki/Fiume_Road_Graveyard,List of mausolea|List of cemeteries in Hungary|List of national cemeteries
Q6738654,Makam Pahlawan,,https://en.wikipedia.org/wiki/Makam_Pahlawan,List of mausolea|List of national cemeteries
Q488897,Seoul National Cemetery,,https://en.wikipedia.org/wiki/Seoul_National_Cemetery,List of mausolea|List of national cemeteries
Q1262136,Mirogoj Cemetery,,https://en.wikipedia.org/wiki/Mirogoj_Cemetery,List of mausolea|List of national cemeteries
Q495276,Royal Tombs of the Joseon Dynasty,,https://en.wikipedia.org/wiki/Royal_Tombs_of_the_Joseon_Dynasty,List of mausolea
Q3776989,Cementerio Presbítero Matías Maestro,,https://en.wikipedia.org/wiki/Cementerio_Presb%C3%ADtero_Mat%C3%ADas_Maestro,List of mausolea|List of national cemeteries
Q2972505,Central Cemetery of Bogotá,,https://en.wikipedia.org/wiki/Central_Cemetery_of_Bogot%C3%A1,List of mausolea|List of national cemeteries
Q6973056,National Heroes' Acre (Zimbabwe),,https://en.wikipedia.org/wiki/National_Heroes'_Acre_(Zimbabwe),List of mausolea|List of national cemeteries
Q7382689,Mahmoodiah Royal Mausoleum,,https://en.wikipedia.org/wiki/Mahmoodiah_Royal_Mausoleum,List of mausolea
Q2671033,Alley of Honor,,https://en.wikipedia.org/wiki/Alley_of_Honor,List of mausolea|List of national cemeteries
Q2790054,Powązki Military Cemetery,,https://en.wikipedia.org/wiki/Pow%C4%85zki_Military_Cemetery,List of mausolea|List of national cemeteries
Q6940153,Musashi Imperial Graveyard,,https://en.wikipedia.org/wiki/Musashi_Imperial_Graveyard,List of mausolea
Q2662272,Bismarck Mausoleum,,https://en.wikipedia.org/wiki/Bismarck_Mausoleum,List of mausolea|List of tombs and mausoleums
